userId,name,role,isIn
0,Princess Collins,Employee,True
1,Miles Myers,Employee,False
2,Lydia Greer,Employee,True
3,Koda Aguirre,Employee,False
4,Ariah Coleman,Employee,True
5,Micah Curry,Employee,True
6,Alison Ryan,Employee,True
7,Timothy Salgado,Employee,False
8,Avalynn Reyes,Employee,True
9,Eli Alexander,Employee,False
10,Lyla Trejo,Employee,False
11,Wesson Mendez,Employee,True
12,Londyn Hinton,Employee,True
13,Frankie Blackwell,Employee,False
14,Saoirse Gould,Employee,True
15,Blaine Russo,Employee,True
16,Tinsley Jacobson,Employee,False
17,Legacy Anderson,Employee,False
18,Ella Hinton,Employee,True
19,Frankie Dudley,Employee,False
20,Hadleigh Banks,Student,True
21,Martin Chambers,Student,True
22,Makayla Clay,Student,False
23,Yosef Booker,Student,True
24,Nataly Foster,Student,True
25,Kayden Moran,Student,True
26,Celeste McCoy,Student,True
27,Jett Potter,Student,False
28,Rory Young,Student,False
29,Asher Beil,Student,False
30,Itzel Lugo,Student,True
31,Santos Delacruz,Student,False
32,Celine Lam,Student,False
33,Bodie Costa,Student,True
34,Robin Liu,Student,False
35,Pedro Page,Student,True
36,Cataleya Little,Student,False
37,Lennox McClain,Student,False
38,Marleigh Molina,Student,True
39,Prince Woodard,Student,True
40,Aubrie Chan,Student,False
41,Frank Warner,Student,False
42,Wynter Hopkins,Student,False
43,Ali Zavala,Student,False
44,Liv Freeman,Student,False
45,Jayce Glenn,Student,True
46,Blaire Henson,Student,True
47,Bellamy Morse,Student,True
48,Kairi Williamson,Student,True
49,Emerson Peters,Student,False
50,Leila Clements,Student,True
51,Fisher Kemp,Student,False
52,Anika Haynes,Student,True
53,Kason Boyd,Student,False
54,Georgia Mitchell,Student,True
55,Jaxon Bravo,Student,False
56,Amoura Hill,Student,False
57,Isaac Gallegos,Student,True
58,Ari Cohen,Student,True
59,Killian Miles,Student,False
60,Alessandra Nichols,Student,False
61,Atlas Williamson,Student,False
62,Catherine Marquez,Student,False
63,Malakai Arnold,Student,True
64,Finley Berry,Student,False
65,Adonis Aguirre,Student,False
66,Ariah Roach,Student,False
67,Caspian Kerr,Student,False
68,Baylee Frost,Student,True
69,Dario Powell,Student,True
70,Vivian Sims,Student,True
71,Brian Livingston,Student,False
72,Milena McKay,Student,False
73,Joey Hodge,Student,False
74,Coraline Farmer,Student,False
75,Jamison Huffman,Student,True
76,Hayley O’Connor,Student,False
77,Princeton Buck,Student,False
78,Livia Garrison,Student,False
79,Noe Enriquez,Student,False
